"gender","height","weight","shoeSize","shoeNums","schoolYear","pets","siblings","speed","cash","sleep","ageMother","ageFather","random","love","charity"
"female",63,137,7.5,20,"Sophomore",0,2,45,11,7,41,46,4,"few",35
"female",70,180,11,10,"Freshman",3,2,75,8,7,51,54,5,"few",10
"female",64,130,8.5,20,"Sophomore",2,0,100,0,7,47,47,6,"few",50
"male",72,185,12,9,"Sophomore",7,1,104,11,8,54,65,7,"few",25
"female",68,205,10,50,"Junior",0,1,35,25,6.5,54,54,8,"few",95
"female",62,115,7.5,15,"Sophomore",4,2,120,120,6.5,42,45,7,"one",100
"female",62,150,9,9,"Sophomore",0,3,50,30,10,43,52,3,"few",75
"female",66,130,9.5,15,"Freshman",4,1,75,34,7,48,56,8,"few",95
"female",64,98,5.5,15,"Sophomore",1,2,80,60,8,49,51,9,"one",50
"female",63,116,8,7,"Sophomore",2,1,60,44,6,59,60,6,"millions",50
"female",65,157,7,35,"Sophomore",4,0,80,25,6,56,58,8,"few",25
"female",68,118,9,20,"Sophomore",3,2,92,15,7,47,47,8,"few",50
"female",64,124,7,14,"Sophomore",3,3,90,16,5.5,50,51,8,"few",100
"male",75,188,12.5,8,"Sophomore",1,2,90,22,7.5,47,51,3,"dozens",50
"female",64,123,8,30,"Sophomore",0,1,85,300,7,49,49,7,"few",30
"female",64,133,8,10,"Sophomore",5,0,105,200,7,52,52,2,"few",25
"female",64,180,9,20,"Junior",0,1,60,0,7,58,59,5,"few",40
"female",63,115,7.5,8,"Junior",2,2,100,12,7,46,45,3,"one",80
"female",64,140,8.5,10,"Sophomore",4,3,95,50,8,54,54,7,"few",60
"female",67,135,7.5,25,"Freshman",6,2,95,20,10,50,51,2,"few",100
"male",66,115,8.5,2,"Sophomore",1,2,90,20,7.5,54,54,6,"few",100
"female",60,125,6,20,"Sophomore",0,1,20,105,9,48,52,7,"dozens",20
"female",69,130,9.5,15,"Freshman",0,1,70,47,9,54,54,3,"few",80
"female",66,140,8.5,15,"Freshman",5,1,100,40,8.5,50,59,8,"one",50
"male",70,144,8.5,6,"Freshman",7,2,65,1,7,58,63,7,"none",50
"male",72,125,11,4,"Sophomore",3,4,90,22,8,52,54,7,"few",90
"male",67,165,10.5,6,"Junior",0,2,90,40,7,43,56,1,"few",70
"female",65,143,8,7,"Sophomore",2,2,90,40,8,49,49,1,"few",0
"female",64,148,9,3,"Sophomore",5,6,80,3,6,55,49,7,"few",100
"male",67,145,9,8,"Junior",0,1,97,24,7,60,65,8,"few",80
"female",62,112,6.5,22,"Sophomore",1,1,84,0,5,46,47,4,"few",10
"female",66,130,8.5,13,"Sophomore",2,1,60,42,6.5,44,50,6,"one",50
"female",66,140,8.5,10,"Sophomore",4,5,80,1,8.5,48,54,1,"few",100
"male",67,128,8,4,"Graduate",3,1,131,30,7,51,53,2,"few",60
"male",69,180,10.5,9,"Junior",0,5,84,12,4.5,36,45,3,"dozens",50
"female",65,168,7.5,7,"Junior",1,1,101,65,7,51,49,3,"few",40
"female",65,135,7,22,"Junior",3,2,120,100,6.5,45,45,2,"hundreds",0
"male",69,185,11.5,6,"Junior",5,2,110,32,7.5,56,58,3,"thousands",50
"female",66,142,8,5,"Freshman",7,2,90,30,7.5,50,49,4,"none",50
"female",63,119,6,15,"Sophomore",1,1,105,99,8.5,47,50,9,"one",50
"male",70,170,10.5,3,"Sophomore",0,4,60,150,8,53,58,7,"few",11
"female",60,107,6.5,7,"Sophomore",1,1,60,0,7,60,62,9,"few",100
"male",69,185,11,2,"Sophomore",0,3,130,31,7,47,48,2,"one",20
"male",69,170,11.5,8,"Sophomore",3,2,100,20,8,47,48,7,"thousands",100
"female",64,115,7.5,7,"Sophomore",0,3,85,20,6.5,49,53,2,"few",97
"female",66,130,8.5,20,"Sophomore",0,3,85,20,8,52,54,4,"few",100
"female",62,115,6.5,15,"Sophomore",2,5,90,0,8,47,60,3,"one",60
"female",65,120,8,11,"Sophomore",4,1,97,31,7,55,59,7,"few",55
"male",70,166,11.5,7,"Freshman",1,2,105,64,8.5,46,46,6,"few",10
"female",63,113,7.5,12,"Sophomore",0,1,25,5,5.5,51,53,4,"few",35
"female",67,120,8,20,"Sophomore",1,1,110,10,8.5,41,47,7,"one",25
"female",65,125,9,13,"Sophomore",4,3,90,18,7,36,36,3,"few",85
"male",73,178,12,14,"Sophomore",8,3,115,3,7.5,50,45,2,"one",100
"female",62,102,6.5,34,"Sophomore",3,2,91,35,6.5,51,55,2,"millions",75
"male",73,180,13,4,"Junior",1,0,100,80,7.5,50,60,5,"few",30
"male",69,160,10.5,7,"Sophomore",5,3,120,0,7,56,56,7,"few",50
"male",71,152,11,20,"Sophomore",0,0,100,64,5.5,40,45,3,"few",30
"female",69,142,9,30,"Junior",3,2,90,40,8,50,50,3,"hundreds",75
"female",60,95,7,5,"Sophomore",1,1,40,90,8,48,52,5,"few",50
"female",61,110,5.5,20,"Sophomore",0,1,100,60,8,47,48,2,"thousands",80
"female",66,247,9,28,"Sophomore",3,2,90,16,6,46,51,7,"few",50
"male",69,140,9.5,6,"Sophomore",1,3,89,50,7,44,46,4,"thousands",100
"female",66,134,8,9,"Junior",2,1,100,3,6,41,45,5,"few",30
"female",63,100,6.5,10,"Sophomore",0,0,40,63,7,50,49,3,"few",15
"male",75,200,12,6,"Sophomore",1,1,128,60,7,47,47,7,"millions",75
"female",63,143,9.5,20,"Sophomore",2,2,84,65,8,50,51,8,"few",70
"female",64,120,7,15,"Junior",7,3,100,0,6,50,58,7,"one",30
"male",74,155,13,3,"Sophomore",0,1,60,1,7,42,42,3,"one",100
"female",66,165,9,20,"Sophomore",1,2,90,200,6.5,43,44,7,"dozens",10
"male",71,155,11.5,12,"Sophomore",6,2,140,20,6,45,46,7,"dozens",30
"female",70,130,9.5,22,"Sophomore",0,5,130,30,5,52,54,7,"dozens",100
